,prompt,completion
143,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></div><div aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""10"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""spinbutton"" step=""1"" value=""10""></div></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></form>"," [{""label"":""tell"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""excited gentle younger trace soil early popular type pond foreign"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null}]"
144,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_1"" role=""combobox"" type=""search"" value=""mass writing space""></div><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></div><div aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""13"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""spinbutton"" step=""1"" value=""13""></div></div><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></form>"," [{""label"":""riding"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""physical pretty molecular accurate equal closely chicken own soon"",""options"":null,""type"":""autoComplete""},{""label"":null,""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""warn rush truth ranch pole love bound"",""maxTagCount"":0,""multiple"":true,""options"":null,""type"":""cascader""},{""label"":""exciting green"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""away triangle express captured every addition"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
145,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div></form>"," [{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""glass tent brave"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""notice spin while part hearing pipe he art test spell"",""text"":null,""type"":""switch"",""options"":null},{""label"":""apart bar brought"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""favorite behavior powder future repeat article joined length satisfied industrial"",""text"":null,""type"":""switch"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null}]"
146,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""proud pain lie"">proud pain lie</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""radio"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">proud pain lie</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""pilot"">pilot</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">pilot</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div></form>"," [{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""proud pain lie"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""ice population home air then combination sister"",""renderAs"":null,""type"":""radio"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""pilot"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""secret mail element another because whispered"",""indeterminate"":false,""type"":""checkbox"",""options"":null}]"
147,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></div><div aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""-53"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""spinbutton"" step=""2"" value=""-53""></div></div><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></form>"," [{""label"":null,""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""cook island cutting evidence invented"",""min"":-100,""max"":100,""step"":2,""type"":""number"",""options"":null}]"
148,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""else"">else</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">else</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""else"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""avoid bar fire dirty morning stove desert complete hay material"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""learn"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""cast church balance bent island opposite"",""min"":-100,""max"":100,""step"":5,""marks"":{""17"":""lake"",""27"":""soil in"",""-13"":""vast""},""reversed"":true,""vertical"":true,""range"":true,""graduated"":false,""type"":""slider"",""options"":null}]"
149,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></form>"," [{""type"":""upload"",""options"":null,""defaultValue"":null}]"
150,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""smooth various stage"">smooth various stage</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""radio"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">smooth various stage</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""type"":""transfer"",""options"":null,""defaultValue"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""smooth various stage"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""native condition aware accurate built birthday sometime sound upon"",""renderAs"":{""type"":""button"",""values"":{""label"":[""route""]}},""type"":""radio"",""options"":null}]"
151,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""roar"">roar</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">roar</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_1"" role=""combobox"" type=""search"" value=""place hair""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0"" disabled="""" placeholder=""Start time"" readonly="""" size=""10"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0"" disabled="""" placeholder=""End time"" readonly="""" size=""10"" value=""""></div><div backgroundcolor=""dodgerblue 1"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""clock-circle"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""clock-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""><path backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></path><path backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></path></span><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""roar"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""struggle thousand share drew almost next simple peace"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""prevent"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""call lead stairs direction"",""options"":null,""type"":""autoComplete""},{""label"":""wherever"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""elephant moving gather report cowboy he ride"",""picker"":""time"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null}]"
152,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></div><div aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""37"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""spinbutton"" step=""3"" value=""37""></div></div><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""job joined"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""pour end speech experiment drive sun row"",""min"":-100,""max"":100,""step"":3,""type"":""number"",""options"":null},{""label"":""cry"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""firm shine zebra western"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""letter"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""student leg sing slipped conversation valuable vowel suppose seen drive"",""text"":null,""type"":""switch"",""options"":null}]"
153,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></form>"," [{""label"":""once affect guide"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""party hour broad weather sense breathe dance proud force film"",""text"":null,""type"":""switch"",""options"":null}]"
154,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""slide""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">slide</span><span aria-hidden=""true"" aria-label=""close"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""close"" fill=""currentColor"" focusable=""false"" fontsize=""0.7142857142857143"" fontweight=""bold"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""ship college""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">ship college</span><span aria-hidden=""true"" aria-label=""close"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""close"" fill=""currentColor"" focusable=""false"" fontsize=""0.7142857142857143"" fontweight=""bold"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""> </span></div></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""label"":""seat arrange"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""factory return when eventually"",""min"":-100,""max"":100,""step"":6,""marks"":{""22"":""sea went"",""36"":""further"",""-5"":""by battle""},""reversed"":false,""vertical"":true,""range"":true,""graduated"":false,""type"":""slider"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""shake"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""sense property turn spent flag"",""picker"":""quarter"",""isRange"":false,""showTime"":false,""type"":""date"",""options"":null},{""label"":""blue sets"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""daily sentence cake unit with selection face collect green"",""maxTagCount"":3,""mode"":""multiple"",""options"":null,""type"":""select""}]"
155,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""balance wool"">balance wool</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">balance wool</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""balance wool"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""comfortable life grow light close found agree anywhere shorter"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""path"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""grown why older rock visitor park share log"",""text"":null,""type"":""switch"",""options"":null}]"
