,prompt,completion
13,"<form><div><div></div></div><div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>create contain tribe sell job reach say</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""fierce way"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""create contain tribe sell job reach say"",""text"":null,""type"":""switch"",""options"":null}]"
14,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>still fall seven belt interior rhythm milk fence clothes</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><div><div><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/><span aria-hidden=""true""> </span></div></div></div><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>hole real accurate top flat announced get bank dear sum</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""everybody rise"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""still fall seven belt interior rhythm milk fence clothes"",""text"":null,""type"":""switch"",""options"":null},{""label"":""lesson applied shade"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""hole real accurate top flat announced get bank dear sum"",""maxTagCount"":3,""mode"":""tags"",""options"":null,""type"":""select""}]"
15,"<form><div><div></div></div><div><div><div><div><div><div><div><div><div><input autocomplete=""off"" placeholder=""Start month"" readonly="""" size=""12"" value=""""/></div><div><span aria-label=""to""><span aria-label=""swap-right"" role=""img""><svg aria-hidden=""true"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""0 0 1024 1024"" width=""1em""><path d=""M873.1 596.2l-164-208A32 32 0 00684 376h-64.8c-6.7 0-10.4 7.7-6.3 13l144.3 183H152c-4.4 0-8 3.6-8 8v60c0 4.4 3.6 8 8 8h695.9c26.8 0 41.7-30.8 25.2-51.8z""></path></svg></span></span></div><div><input autocomplete=""off"" placeholder=""End month"" readonly="""" size=""12"" value=""""/></div><div></div><span><span aria-label=""calendar"" role=""img""><svg aria-hidden=""true"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M880 184H712v-64c0-4.4-3.6-8-8-8h-56c-4.4 0-8 3.6-8 8v64H384v-64c0-4.4-3.6-8-8-8h-56c-4.4 0-8 3.6-8 8v64H144c-17.7 0-32 14.3-32 32v664c0 17.7 14.3 32 32 32h736c17.7 0 32-14.3 32-32V216c0-17.7-14.3-32-32-32zm-40 656H184V460h656v380zM184 392V256h128v48c0 4.4 3.6 8 8 8h56c4.4 0 8-3.6 8-8v-48h256v48c0 4.4 3.6 8 8 8h56c4.4 0 8-3.6 8-8v-48h128v136H184z""></path></svg></span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>smoke roar sides station train bite</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div></form>","[{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""orbit who"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""smoke roar sides station train bite"",""picker"":""month"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
16,"<form><div><div><div><div><div><label title=""branch individual"">branch individual</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>branch individual</span></label></div></div><div><div role=""alert""><div>complete her realize ought today stay article locate</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""70"" autocomplete=""off"" disabled="""" role=""spinbutton"" step=""3"" value=""70""/></div></div><span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>easy arm atmosphere load him trap adventure</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""branch individual"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""complete her realize ought today stay article locate"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""independent"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""outer came parent hardly"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""favorite"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""easy arm atmosphere load him trap adventure"",""min"":-100,""max"":100,""step"":3,""type"":""number"",""options"":null}]"
17,"<form><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""24"" autocomplete=""off"" disabled="""" role=""spinbutton"" step=""1"" value=""24""/></div></div><span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>round similar verb driven nor whispered plastic for alive</div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div></div><div><div><div><div><label title=""choose warn"">choose warn</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>choose warn</span></label></div></div></div></div></div></div></div><div><div></div><div><div><div><div><div><div><div><div><div><div><span title=""entirely roar travel""><span>entirely roar travel</span></span></div><div><div><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>thing who oil joy bigger</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""still"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""round similar verb driven nor whispered plastic for alive"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""value enemy"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""whom stand clothes boat afternoon swimming this"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""choose warn"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":null,""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""rice"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""tropical refused upper tribe pencil claws strange minute noted"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""closer way"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""thing who oil joy bigger"",""maxTagCount"":1,""mode"":""multiple"",""options"":null,""type"":""select""}]"
18,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span></div><div><span>factory front feature</span><span>throughout</span><span>bend pitch possible</span></div></div></div></div><div><div role=""alert""><div>flew throat shake kept carried shinning tune tomorrow</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""heart given driving"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""failed darkness gold strange loose shine test"",""text"":null,""type"":""switch"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""spent fast seed"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""actually construction given audience"",""text"":null,""type"":""switch"",""options"":null},{""label"":""studied paper"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""flew throat shake kept carried shinning tune tomorrow"",""min"":-100,""max"":100,""step"":5,""marks"":{""20"":""throughout"",""99"":""bend pitch possible"",""-20"":""factory front feature""},""reversed"":false,""vertical"":false,""range"":false,""graduated"":true,""type"":""slider"",""options"":null}]"
19,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div><input autocomplete=""off"" placeholder=""Start time"" readonly="""" size=""10"" value=""""/></div><div><span aria-label=""to""><span aria-label=""swap-right"" role=""img""><svg aria-hidden=""true"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""0 0 1024 1024"" width=""1em""><path d=""M873.1 596.2l-164-208A32 32 0 00684 376h-64.8c-6.7 0-10.4 7.7-6.3 13l144.3 183H152c-4.4 0-8 3.6-8 8v60c0 4.4 3.6 8 8 8h695.9c26.8 0 41.7-30.8 25.2-51.8z""></path></svg></span></span></div><div><input autocomplete=""off"" placeholder=""End time"" readonly="""" size=""10"" value=""""/></div><div></div><span><span aria-label=""clock-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""clock-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm0 820c-205.4 0-372-166.6-372-372s166.6-372 372-372 372 166.6 372 372-166.6 372-372 372z""></path><path d=""M686.7 638.6L544.1 535.5V288c0-4.4-3.6-8-8-8H488c-4.4 0-8 3.6-8 8v275.4c0 2.6 1.2 5 3.3 6.5l165.4 120.6c3.6 2.6 8.6 1.8 11.2-1.7l28.6-39c2.6-3.7 1.8-8.7-1.8-11.2z""></path></svg></span><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>design balance pan so</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""compass next""/></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div></div></div></div></div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>musical damage apple collect past dark opportunity ago solution</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span><span></span></div><div><span>pilot general treated</span><span>famous which</span><span>his welcome press</span><span>move warn particularly</span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""79"" autocomplete=""off"" role=""spinbutton"" step=""1"" value=""79""/></div></div><span><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>vegetable fully horse in quiet strange species force we</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""chemical"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""progress produce progress sail dried bat"",""text"":null,""type"":""switch"",""options"":null},{""label"":null,""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""design balance pan so"",""picker"":""time"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":""movie farm"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":null,""options"":null,""type"":""autoComplete""},{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""musical damage apple collect past dark opportunity ago solution"",""options"":null,""type"":""autoComplete""},{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""mood fighting entirely damage universe visit farmer kitchen arrive monkey"",""min"":-100,""max"":100,""step"":3,""marks"":{""28"":""his welcome press"",""59"":""move warn particularly"",""-83"":""pilot general treated"",""-20"":""famous which""},""reversed"":false,""vertical"":false,""range"":true,""graduated"":false,""type"":""slider"",""options"":null},{""label"":""alphabet"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""vegetable fully horse in quiet strange species force we"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null}]"
20,"<form><div><div><div><div><div><label title=""swing lift himself"">swing lift himself</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>swing lift himself</span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""-50"" autocomplete=""off"" role=""spinbutton"" step=""2"" value=""-50""/></div></div><span><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>police uncle name political</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div><div><div><div><div><div><div><div><div><div></div><div><span></span><span></span></div><div><span>proud</span><span>explain</span></div></div></div></div><div><div role=""alert""><div>nearer television shop he aware</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""swing lift himself"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":null,""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""list any"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""police uncle name political"",""min"":-100,""max"":100,""step"":2,""type"":""number"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":null,""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""nearer television shop he aware"",""min"":-100,""max"":100,""step"":6,""marks"":{""91"":""proud"",""93"":""explain""},""reversed"":false,""vertical"":true,""range"":true,""graduated"":true,""type"":""slider"",""options"":null}]"
21,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" disabled="""" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div><div><div><div><label title=""attached see"">attached see</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>attached see</span></label></div></div><div><div role=""alert""><div>copper whispered religious properly ill public straw felt warn</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""fresh suddenly gather"">fresh suddenly gather</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>fresh suddenly gather</span></label></div></div><div><div role=""alert""><div>coat group ten needs talk protection jack</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""building tobacco pretty themselves independent nervous has everywhere anywhere"",""text"":null,""type"":""switch"",""options"":null},{""label"":""heat play return"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""rising merely wire start grass"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""attached see"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""copper whispered religious properly ill public straw felt warn"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""fresh suddenly gather"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""coat group ten needs talk protection jack"",""indeterminate"":false,""type"":""checkbox"",""options"":null}]"
22,"<form><div><div><div><div><div><label title=""paid medicine ground"">paid medicine ground</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>paid medicine ground</span></label></div></div></div></div></div></div></div></form>","[{""label"":""paid medicine ground"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":null,""indeterminate"":false,""type"":""checkbox"",""options"":null}]"
